Song,Name,Image
"['LOVE ME RIGHT', '으르렁 (Growl)', '첫 눈']",EXO,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/24/619/724619_20210603102557_500.jpg/melon/resize/104/quality/80/optimize
"['Beautiful Liar', 'Love Killa', 'GAMBLER']",몬스타엑스,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/91/216/791216_20230109113440_500.jpg/melon/resize/104/quality/80/optimize
"['개화 (Flowering)', '아니 근데 진짜', '히어로']",LUCY,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/36/779/2736779_20230223134900_500.jpg/melon/resize/104/quality/80/optimize
['Say My Name'],Say Yes!,https://cdnimg.melon.co.kr/resource/image/web/default/noArtist_300_160727.jpg/melon/resize/104
"['어디에도', '흩어지지 않게', 'One Love']",엠씨더맥스 (M.C the MAX),https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/61/636/161636_20221206152142_500.jpg/melon/resize/104/quality/80/optimize
"['그리워하다', '봄날의 기억', '너 없인 안 된다']",비투비,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/47/971/647971_20220208101130_500.jpg/melon/resize/104/quality/80/optimize
"['Memories', 'Sugar', 'Sunday Morning']",Maroon 5,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/07/721/107721_20210608170728_500.jpg/melon/resize/104/quality/80/optimize
"['ROAR', 'WHISPER', 'REVEAL']",더보이즈 (THE BOYZ),https://cdnimg.melon.co.kr/cm2/artistcrop/images/018/16/126/1816126_20230220145112_500.jpg/melon/resize/104/quality/80/optimize
"['벚꽃 엔딩', '꽃송이가', '여수 밤바다']",버스커 버스커,https://cdnimg.melon.co.kr/cm/artistcrop/images/005/69/233/569233_500.jpg/melon/resize/104/quality/80/optimize
"['Timeless', '라라라', '내사람']",SG 워너비,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/08/363/108363_20210716151520_500.jpg/melon/resize/104/quality/80/optimize
"['일곱 번째 감각 (The 7th Sense) (Sung by 태용, 마크, 재현, 도영, 텐)', 'BOSS', ""Universe (Let's Play Ball)""]",NCT U,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/60/278/960278_20211126115125_500.jpg/melon/resize/104/quality/80/optimize
"['사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)', '사이렌', '무덤 위에 소주를 부어줘']",호미들,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/54/623/2754623_20201214142344_500.jpg/melon/resize/104/quality/80/optimize
"['Polaroid Love', 'FEVER', 'Drunk-Dazed']",ENHYPEN,https://cdnimg.melon.co.kr/cm2/artistcrop/images/028/99/079/2899079_20220704160050_500.jpg/melon/resize/104/quality/80/optimize
"['Stand By Me', 'View', '누난 너무 예뻐 (Replay)']",SHINee (샤이니),https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/47/639/247639_20210406112412_500.jpg/melon/resize/104/quality/80/optimize
"['우산 (Feat. 윤하)', '비 오는 날 듣기 좋은 노래 (Feat. Colde)', '연애소설 (Feat. 아이유)']",에픽하이 (EPIK HIGH),https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/08/356/108356_20230131141458_500.jpg/melon/resize/104/quality/80/optimize
"['Monologue', '남자를 몰라', '가시']",버즈,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/60/091/160091_20210310140842_500.jpg/melon/resize/104/quality/80/optimize
['난 빛나 (Here I Am)'],BOYS PLANET,https://cdnimg.melon.co.kr/cm2/artistcrop/images/031/84/787/3184787_20230103184438_500.jpg/melon/resize/104/quality/80/optimize
"['나비무덤', '미친거니', '못해 (Feat. 美)']",포맨 (4MEN),https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/00/176/100176_20210604103812_500.jpg/melon/resize/104/quality/80/optimize
"['REALLY REALLY', 'I LOVE U', 'MILLIONS']",WINNER,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/75/197/775197_20220705143441_500.jpg/melon/resize/104/quality/80/optimize
"['옥탑방 (Rooftop)', '봄이 부시게 (Spring Memories)', '폭망 (I Like You)']",엔플라잉 (N.Flying),https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/61/430/861430_20221017195927_500.jpg/melon/resize/104/quality/80/optimize
"['봄노래 (feat. 미연 ((여자)아이들))', 'RUN RUN', 'Shadow Love']",LAS (라스),https://cdnimg.melon.co.kr/cm2/artistcrop/images/030/91/677/3091677_20230407160050_500.jpg/melon/resize/104/quality/80/optimize
"['Believer', 'Thunder', 'Bones']",Imagine Dragons,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/35/412/635412_20220311152620_500.jpg/melon/resize/104/quality/80/optimize
['Over Me'],Overdose,https://cdnimg.melon.co.kr/resource/image/web/default/noArtist_300_160727.jpg/melon/resize/104
"['My Universe', 'Viva La Vida', 'Something Just Like This']",Coldplay,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/00/260/100260_20211015102948_500.jpg/melon/resize/104/quality/80/optimize
[],NCT 도재정,https://cdnimg.melon.co.kr/cm2/artistcrop/images/032/36/175/3236175_20230327120102_500.jpg/melon/resize/104/quality/80/optimize
"['죽일 놈 (Guilty)', '고백(Go Back) (Feat.정인)', '시간아 멈춰 (Feat. Leellamarz) (Prod. TOIL)']",다이나믹 듀오,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/08/358/108358_20191126153746_500.jpg/melon/resize/104/quality/80/optimize
"['En Garde (준비,시작!)']",En Butter,https://cdnimg.melon.co.kr/resource/image/web/default/noArtist_300_160727.jpg/melon/resize/104
"[""World's Smallest Violin"", 'Bang!', 'Burn the House Down']",AJR,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/70/539/770539_20220729114418_500.jpg/melon/resize/104/quality/80/optimize
"['To You', '긴 생머리 그녀 (Miss Right)', '미치겠어']",틴탑,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/83/581/483581_20200710151709_500.jpg/melon/resize/104/quality/80/optimize
['Switch'],꾹꾹이,https://cdnimg.melon.co.kr/resource/image/web/default/noArtist_300_160727.jpg/melon/resize/104
"['Let It Be (Remastered 2009)', 'I Will (Remastered 2009)', 'Yesterday (Remastered 2009)']",The Beatles,https://cdnimg.melon.co.kr/cm/artistcrop/images/001/03/578/103578_500.jpg/melon/resize/104/quality/80/optimize
"['오래된 노래', 'Little Star', '무지개 (Feat. 윤닭 Of 오브로젝트)']",스탠딩 에그,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/67/880/467880_20220518180745_500.jpg/melon/resize/104/quality/80/optimize
"['사랑앓이', '바래', '지독하게']",FTISLAND (FT아일랜드),https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/26/490/226490_20211210102738_500.jpg/melon/resize/104/quality/80/optimize
"['늦은 밤 너의 집 앞 골목길에서', '다시 와주라', '전부 너였다']",노을,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/05/623/105623_20221027140139_500.jpg/melon/resize/104/quality/80/optimize
"['HER', 'YESTERDAY', 'Toy']",블락비 (Block B),https://cdnimg.melon.co.kr/cm/artistcrop/images/005/32/201/532201_500.jpg/melon/resize/104/quality/80/optimize
"['비가 오는 날엔', 'Fiction', '아름다운 밤이야']",비스트,https://cdnimg.melon.co.kr/cm/artistcrop/images/004/36/981/436981_500.jpg/melon/resize/104/quality/80/optimize
"['Man In Love (남자가 사랑할때)', '내꺼하자', '추격자']",인피니트,https://cdnimg.melon.co.kr/cm/artistcrop/images/004/76/181/476181_500.jpg/melon/resize/104/quality/80/optimize
"['촛불하나', '길', '거짓말']",god,https://cdnimg.melon.co.kr/cm/artistcrop/images/001/00/007/100007_500.jpg/melon/resize/104/quality/80/optimize
