순위,가수명,인기곡,앨범이미지,유튜브링크
14,죠지,Boat,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/90/830/790830_20230406144114_500.jpg,https://www.youtube.com/watch?v=ApVRo5pD7nY
15,안예은,낮에 뜨는 달 (낮에 뜨는 달 X 안예은),https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/47/099/947099_20210730145045_500.jpg,https://www.youtube.com/watch?v=3GHp14Tddbw
16,검정치마,EVERYTHING,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/76/166/276166_20220803154452_500.jpg,https://www.youtube.com/watch?v=ScHpv1OfSSg
17,PATEKO (파테코),OHAYO MY NIGHT,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/50/866/2750866_20220303134059_500.jpg,https://www.youtube.com/watch?v=zT-Ne6mCRHY
18,호미들,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/54/623/2754623_20201214142344_500.jpg,https://www.youtube.com/watch?v=dn6IbwyeO-Q
19,Kid Wine,널 떠올리는 중이야,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/14/277/914277_20220902144412_500.jpg,https://www.youtube.com/watch?v=Htucd7RpclE
20,pH-1,Nerdy Love (Feat. 백예린),https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/43/511/943511_20220915142537_500.jpg,https://www.youtube.com/watch?v=FFkLoUwQ9a4
21,저스디스 (JUSTHIS),마이웨이 (MY WAY) (Prod. R.Tee),https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/86/499/786499_20220722171049_500.jpg,https://www.youtube.com/watch?v=y4Ok11V6fz8
22,CHEEZE (치즈),Madeleine Love,https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/97/191/597191_20220530174000_500.jpg,https://www.youtube.com/watch?v=IuqOUNEQOP0
23,허성현 (Huh),마이웨이 (MY WAY) (Prod. R.Tee),https://cdnimg.melon.co.kr/cm2/artistcrop/images/021/90/397/2190397_20230224135816_500.jpg,https://www.youtube.com/watch?v=y4Ok11V6fz8
24,윤딴딴,내가 야! 하면 넌 예! (feat. 경서),https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/56/963/756963_20221103145651_500.jpg,https://www.youtube.com/watch?v=QobRhpTWA28
25,Jayci yucca (제이씨 유카),널 떠올리는 중이야,https://cdnimg.melon.co.kr/cm2/artistcrop/images/021/12/746/2112746_20220419143156_500.jpg,https://www.youtube.com/watch?v=Htucd7RpclE
26,오반,어떻게 지내 (Prod. By VAN.C),https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/25/515/925515_20221121135243_500.jpg,https://www.youtube.com/watch?v=jBAdBd_hd-8
27,백아,첫사랑,https://cdnimg.melon.co.kr/cm2/artistcrop/images/021/13/114/2113114_20230130115533_500.jpg,https://www.youtube.com/watch?v=RROW1FvQjqA
28,데이먼스 이어 (Damons year),yours,https://cdnimg.melon.co.kr/cm2/artistcrop/images/017/57/393/1757393_20221020114914_500.jpg,https://www.youtube.com/watch?v=VHj6IYA-Dxs
29,스탠딩 에그,오래된 노래,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/67/880/467880_20220518180745_500.jpg,https://www.youtube.com/watch?v=bW3XExLBf7A
30,21학번,스티커 사진,https://cdnimg.melon.co.kr/cm2/artistcrop/images/029/31/537/2931537_20210412101627_500.jpg,https://www.youtube.com/watch?v=ArvOtRsecVQ
31,던말릭 (DON MALIK),마이웨이 (MY WAY) (Prod. R.Tee),https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/89/943/789943_20230323141358_500.jpg,https://www.youtube.com/watch?v=y4Ok11V6fz8
32,뎁트,"24 Hours (Feat. 로키드, 프리든)",https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/92/289/992289_20220427144131_500.jpg,https://www.youtube.com/watch?v=q66aWg_rcCA
33,임재현,세상에 없는 계절,https://cdnimg.melon.co.kr/cm/artistcrop/images/020/87/273/2087273_500.jpg,https://www.youtube.com/watch?v=NAiI7N5tSc0
34,수퍼비 (SUPERBEE),사임쌓임,https://cdnimg.melon.co.kr/cm/artistcrop/images/006/95/757/695757_500.jpg,https://www.youtube.com/watch?v=u5a1CGlLUoU
35,양홍원,띵 (Prod. By 기리보이),https://cdnimg.melon.co.kr/cm/artistcrop/images/009/07/416/907416_500.jpg,https://www.youtube.com/watch?v=GBaKmkppD5A
36,정효빈,혼자가 아닌 나,https://cdnimg.melon.co.kr/cm2/artistcrop/images/026/39/564/2639564_20230228183316_500.jpg,https://www.youtube.com/watch?v=XHAuhtrtaOI
37,디핵 (D-Hack),OHAYO MY NIGHT,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/85/501/785501_20221208133458_500.jpg,https://www.youtube.com/watch?v=KCpWMEsiN3Q
38,탑현,사랑한다고 말해줘,https://cdnimg.melon.co.kr/cm2/artistcrop/images/028/93/700/2893700_20230310170839_500.jpg,https://www.youtube.com/watch?v=K00aCXY2LY0
39,그래쓰 (GRASS),airplane-mode,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/57/107/2757107_20230414115700_500.jpg,https://www.youtube.com/watch?v=FYaq55R1TDI
40,빈지노 (Beenzino),Aqua Man,https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/32/029/532029_20210325171255_500.jpg,https://www.youtube.com/watch?v=08h8u8Z9iJQ
41,선우정아,도망가자 (Run With Me),https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/84/910/184910_20220923140733_500.jpg,https://www.youtube.com/watch?v=D0l1HdemykU
42,Gist,끝말잇기 (Feat. Skinny Brown),https://cdnimg.melon.co.kr/cm2/artistcrop/images/026/35/191/2635191_20220121162731_500.jpg,https://www.youtube.com/watch?v=29SIy5XPPv4
43,숀 (SHAUN),Way Back Home,https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/10/242/510242_20220728134125_500.jpg,https://www.youtube.com/watch?v=amOSaNX7KJg
44,혁오 (HYUKOH),위잉위잉,https://cdnimg.melon.co.kr/cm/artistcrop/images/007/85/589/785589_500.jpg,https://www.youtube.com/watch?v=IUoTjkS242c
45,잠골버스,사랑이 불고 불어,https://cdnimg.melon.co.kr/cm2/artistcrop/images/029/15/424/2915424_20221213170907_500.jpg,https://www.youtube.com/watch?v=4XPONR9dIrA
46,KHAN,마이웨이 (MY WAY) (Prod. R.Tee),https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/41/140/2741140_20230120134723_500.jpg,https://www.youtube.com/watch?v=y4Ok11V6fz8
47,meenoi (미노이),잠수이별 (Prod. 코드 쿤스트),https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/40/934/2740934_20221027103639_500.jpg,https://www.youtube.com/watch?v=_KKCGpat33s
48,주시크 (Joosiq),너를 생각해,https://cdnimg.melon.co.kr/cm2/artistcrop/images/028/80/487/2880487_20220330112808_500.jpg,https://www.youtube.com/watch?v=zeI1RXSK1YY
49,허회경,김철수 씨 이야기,https://cdnimg.melon.co.kr/cm2/artistcrop/images/029/12/859/2912859_20221110112957_500.jpg,https://www.youtube.com/watch?v=nCYF4Ya-WcI
50,매드클라운,우리집을 못 찾겠군요 (Feat. 볼빨간사춘기),https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/19/621/219621_20201006134107_500.jpg,https://www.youtube.com/watch?v=x-4WGzVOwAU
