순위,곡명,아티스트,앨범,앨범이미지
13,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,https://cdnimg.melon.co.kr/cm/album/images/102/94/603/10294603_500.jpg?0c56b81bdfc97f7c568a95aad6a7614a/melon/resize/282/quality/80/optimize
14,Polaroid Love,ENHYPEN,DIMENSION : ANSWER,https://cdnimg.melon.co.kr/cm2/album/images/108/37/317/10837317_20220110145758_500.jpg?0137c8bbb5260cdb4c0d11d7afc15a6b/melon/resize/282/quality/80/optimize
15,"55 (Feat. 백예린, 웬디)",코드 쿤스트 (CODE KUNST),Archive 01,https://cdnimg.melon.co.kr/cm2/album/images/111/97/900/11197900_20230307163807_500.jpg?8e8c2203fdda2561564be9d99cc5a34d/melon/resize/282/quality/80/optimize
16,"낭만교향곡 (Feat. CHANGMO, 박재범)",BIG Naughty (서동현),낭만,https://cdnimg.melon.co.kr/cm2/album/images/109/79/115/10979115_20220609103712_500.jpg?940175cb70f64fab360272651644f78a/melon/resize/282/quality/80/optimize
17,너를 생각해,주시크 (Joosiq),너를 생각해,https://cdnimg.melon.co.kr/cm2/album/images/107/16/399/10716399_20210916173429_500.jpg?d0ffad437e074395ff77646d920ece94/melon/resize/282/quality/80/optimize
18,Vancouver,BIG Naughty (서동현),Lovey Dovey,https://cdnimg.melon.co.kr/cm2/album/images/109/41/011/10941011_20220503153950_500.jpg?b70aa8e5d54f0203e0a9429cd2d4a8ce/melon/resize/282/quality/80/optimize
19,헤픈 우연,헤이즈 (Heize),HAPPEN,https://cdnimg.melon.co.kr/cm2/album/images/106/11/845/10611845_20210520170350_500.jpg?77bf1ed2eaa1853541eafe856ad5d2c6/melon/resize/282/quality/80/optimize
20,Bye bye my blue,백예린 (Yerin Baek),Bye bye my blue,https://cdnimg.melon.co.kr/cm/album/images/026/92/170/2692170_500.jpg/melon/resize/282/quality/80/optimize
21,Square (2017),백예린 (Yerin Baek),Every letter I sent you.,https://cdnimg.melon.co.kr/cm2/album/images/103/62/776/10362776_20191210144641_500.jpg?72384ea6f2169ad829dd9450d2382fe3/melon/resize/282/quality/80/optimize
22,7시에 들어줘 (Feat. Peder Elias),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',https://cdnimg.melon.co.kr/cm2/album/images/111/66/539/11166539_20230207143921_500.jpg?YUV444-90/melon/resize/282
23,"하나,둘 (Feat. 펀치 (Punch))",김승민,"하나,둘 (Feat. 펀치 (Punch)",https://cdnimg.melon.co.kr/cm2/album/images/106/19/981/10619981_20210604120500_500.jpg?0d1991dae7aa4ee85813b68578da9a49/melon/resize/282/quality/80/optimize
24,CIRCLE (Feat. Crush),코드 쿤스트 (CODE KUNST),Remember Archive,https://cdnimg.melon.co.kr/cm2/album/images/112/04/947/11204947_20230316100238_500.jpg?0af76a293c86008d6eb99af90374d31d/melon/resize/282/quality/80/optimize
25,"All I Wanna Do (K) (Feat. Hoody, Loco)",박재범,EVERYTHING YOU WANTED,https://cdnimg.melon.co.kr/cm/album/images/100/08/163/10008163_500.jpg/melon/resize/282/quality/80/optimize
26,아무래도 난,주시크 (Joosiq),아무래도 난,https://cdnimg.melon.co.kr/cm2/album/images/109/03/658/10903658_20220329185034_500.jpg?c3378c711c1510089eb2e54aa93c5836/melon/resize/282/quality/80/optimize
27,Yesterday,박재범,Yesterday,https://cdnimg.melon.co.kr/cm2/album/images/111/72/485/11172485_20230210171815_500.jpg?ab2e9c174396360da106658ce5a26527/melon/resize/282/quality/80/optimize
28,Hurt,NewJeans,NewJeans 1st EP 'New Jeans',https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg?1d674a44faffa0ebd34d86c182463171/melon/resize/282/quality/80/optimize
29,Boat,죠지,Boat,https://cdnimg.melon.co.kr/cm/album/images/101/11/920/10111920_500.jpg?56adacb0e8416568714ff92fbdc14558/melon/resize/282/quality/80/optimize
30,썸 (Feat. 릴보이 Of 긱스),소유 (SOYOU),썸,https://cdnimg.melon.co.kr/cm/album/images/022/30/890/2230890_500.jpg/melon/resize/282/quality/80/optimize
31,HoMe boy (Feat. 이하이),코드 쿤스트 (CODE KUNST),Remember Archive,https://cdnimg.melon.co.kr/cm2/album/images/112/04/947/11204947_20230316100238_500.jpg?0af76a293c86008d6eb99af90374d31d/melon/resize/282/quality/80/optimize
32,Impurities,LE SSERAFIM (르세라핌),ANTIFRAGILE,https://cdnimg.melon.co.kr/cm2/album/images/110/78/496/11078496_20221014153848_500.jpg?90c93d5c7f38394169a4c5c70683eb0b/melon/resize/282/quality/80/optimize
33,Love Is Ugly (Feat. 화사),박재범,Yesterday,https://cdnimg.melon.co.kr/cm2/album/images/111/72/485/11172485_20230210171815_500.jpg?ab2e9c174396360da106658ce5a26527/melon/resize/282/quality/80/optimize
34,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게,https://cdnimg.melon.co.kr/cm2/album/images/105/40/298/10540298_20201229150823_500.jpg?14b23cb69fbfc296f974618525ec9957/melon/resize/282/quality/80/optimize
35,미안해,양다일,inside,https://cdnimg.melon.co.kr/cm/album/images/101/23/639/10123639_500.jpg?650a61bf2f3bbc4b6916ccc87880debb/melon/resize/282/quality/80/optimize
36,잊어버리지마 (Feat. 태연),Crush,잊어버리지마,https://cdnimg.melon.co.kr/cm/album/images/026/63/424/2663424_500.jpg/melon/resize/282/quality/80/optimize
37,"Page 1 (Feat. 백예린, pH-1)",코드 쿤스트 (CODE KUNST),Remember Archive,https://cdnimg.melon.co.kr/cm2/album/images/112/04/947/11204947_20230316100238_500.jpg?0af76a293c86008d6eb99af90374d31d/melon/resize/282/quality/80/optimize
38,바람기억,나얼,Principle Of My Soul,https://cdnimg.melon.co.kr/cm/album/images/021/50/856/2150856_500.jpg/melon/resize/282/quality/80/optimize
39,밤이 되니까,펀치 (Punch),밤이 되니까,https://cdnimg.melon.co.kr/cm/album/images/101/00/577/10100577_500.jpg?5cea44763a6ec6efd08cbcf3235822d3/melon/resize/282/quality/80/optimize
40,Beautiful,Crush,도깨비 OST Part 4,https://cdnimg.melon.co.kr/cm/album/images/100/24/106/10024106_500.jpg?6f4b385fcc9c20f1bba3f78ce2909d59/melon/resize/282/quality/80/optimize
41,Single,원슈타인,Single,https://cdnimg.melon.co.kr/cm2/album/images/112/09/488/11209488_20230323115713_500.jpg?42821164c226639eb590ef3b06b686d2/melon/resize/282/quality/80/optimize
42,지명해줄래 (feat. Vince),다나카(TANAKA),지명해줄래 (feat. Vince),https://cdnimg.melon.co.kr/cm2/album/images/112/17/160/11217160_20230404104116_500.jpg?ecba851b6e2c8f93c41c2e8d9e875cb9/melon/resize/282/quality/80/optimize
43,Dream (Prod. by 박근태),수지 (Suzy),Dream,https://cdnimg.melon.co.kr/cm/album/images/026/60/715/2660715_500.jpg/melon/resize/282/quality/80/optimize
44,팔레트 (Feat. G-DRAGON),아이유,Palette,https://cdnimg.melon.co.kr/cm/album/images/100/56/666/10056666_500.jpg?6aeddbe69ee3e13388eb0d9b81adaca8/melon/resize/282/quality/80/optimize
45,Love War (Feat. BE‘O),YENA (최예나),Love War,https://cdnimg.melon.co.kr/cm2/album/images/111/48/137/11148137_20230113140639_500.jpg?c498746dac9294dd5379eae711d5efe7/melon/resize/282/quality/80/optimize
46,"무제(無題) (Untitled, 2014)",G-DRAGON,권지용,https://cdnimg.melon.co.kr/cm/album/images/100/69/644/10069644_500.jpg?be6f7c176796471957beb8057c868607/melon/resize/282/quality/80/optimize
47,이불 (Feat. BIG Naughty),코드 쿤스트 (CODE KUNST),Remember Archive,https://cdnimg.melon.co.kr/cm2/album/images/112/04/947/11204947_20230316100238_500.jpg?0af76a293c86008d6eb99af90374d31d/melon/resize/282/quality/80/optimize
48,_WORLD,세븐틴,SEVENTEEN 4th Album Repackage ‘SECTOR 17',https://cdnimg.melon.co.kr/cm2/album/images/109/99/428/10999428_20220718113528_500.jpg?fc9af86d5f1903db00e1ef04c04e23ad/melon/resize/282/quality/80/optimize
49,instagram,DEAN,instagram,https://cdnimg.melon.co.kr/cm/album/images/101/22/929/10122929_500.jpg?2f92b35e3c800d13f48b3e602db2915d/melon/resize/282/quality/80/optimize
50,D (half moon) (Feat. 개코),DEAN,130 Mood : TRBL,https://cdnimg.melon.co.kr/cm/album/images/026/74/623/2674623_500.jpg/melon/resize/282/quality/80/optimize
51,벌써 일년,브라운 아이즈,Brown Eyes,https://cdnimg.melon.co.kr/cm/album/images/000/02/393/2393_500.jpg/melon/resize/282/quality/80/optimize
52,사랑이 잘 (With 오혁),아이유,사랑이 잘,https://cdnimg.melon.co.kr/cm/album/images/100/52/968/10052968_500.jpg?1ef0f77375b5b4a9c009a4c95d42bd59/melon/resize/282/quality/80/optimize
53,"BAD BAD (Feat. Tabber, 박재범)",코드 쿤스트 (CODE KUNST),Archive 01,https://cdnimg.melon.co.kr/cm2/album/images/111/97/900/11197900_20230307163807_500.jpg?8e8c2203fdda2561564be9d99cc5a34d/melon/resize/282/quality/80/optimize
54,괜찮아도 괜찮아 (That's okay),디오 (D.O.),괜찮아도 괜찮아 (That's okay) - SM STATION,https://cdnimg.melon.co.kr/cm/album/images/103/01/811/10301811_500.jpg?039203f014266d4701100ca6277271f3/melon/resize/282/quality/80/optimize
55,그건 아마 우리의 잘못은 아닐 거야,백예린 (Yerin Baek),Our love is great,https://cdnimg.melon.co.kr/cm/album/images/102/62/378/10262378_500.jpg?0ad765df6c81ee924c170e501ae7de3d/melon/resize/282/quality/80/optimize
56,...사랑했잖아...,린,Can U See The Bright,https://cdnimg.melon.co.kr/cm/album/images/000/34/289/34289_500.jpg/melon/resize/282/quality/80/optimize
57,Beige coat,그리즐리 (Grizzly),Beige coat,https://cdnimg.melon.co.kr/cm2/album/images/108/31/660/10831660_20220104151636_500.jpg?e0aafec9819060c4ccba674c5f7b791e/melon/resize/282/quality/80/optimize
58,와르르 ♥,Colde (콜드),Love part 1,https://cdnimg.melon.co.kr/cm/album/images/102/92/745/10292745_500.jpg?dee04ab8f790eac7fc16416990531d4e/melon/resize/282/quality/80/optimize
59,내사람,SG 워너비,The Precious History,https://cdnimg.melon.co.kr/cm/album/images/003/32/658/332658_500.jpg/melon/resize/282/quality/80/optimize
60,한숨,이하이,SEOULITE,https://cdnimg.melon.co.kr/cm/album/images/026/71/866/2671866_500.jpg?c6f2f398a7308f9819417c4c67ffc2f2/melon/resize/282/quality/80/optimize
61,체념,빅마마,Like The Bible,https://cdnimg.melon.co.kr/cm/album/images/000/27/516/27516_500.jpg/melon/resize/282/quality/80/optimize
62,도망가자 (Run With Me),선우정아,Serenade,https://cdnimg.melon.co.kr/cm2/album/images/103/64/036/10364036_20191212141529_500.jpg?61c4b6497a0882209d6fb62121fd1aca/melon/resize/282/quality/80/optimize
63,연,빅마마,For The People,https://cdnimg.melon.co.kr/cm/album/images/003/28/509/328509_500.jpg/melon/resize/282/quality/80/optimize
64,꽃 길,BIGBANG (빅뱅),꽃 길,https://cdnimg.melon.co.kr/cm/album/images/101/47/314/10147314_500.jpg?b09601161783ee07d0ece28823028b35/melon/resize/282/quality/80/optimize
65,내가 바보라서 그래?,KIXO (키조),내가 바보라서 그래?,https://cdnimg.melon.co.kr/cm2/album/images/111/95/201/11195201_20230303144243_500.jpg?66a888284832dd6ff5a4a144256299fe/melon/resize/282/quality/80/optimize
66,귀로,나얼,Back To The Soul Flight,https://cdnimg.melon.co.kr/cm/album/images/000/47/037/47037_500.jpg/melon/resize/282/quality/80/optimize
67,우주를 건너,백예린 (Yerin Baek),FRANK,https://cdnimg.melon.co.kr/cm/album/images/026/53/573/2653573_500.jpg/melon/resize/282/quality/80/optimize
68,Tinnitus (돌멩이가 되고 싶어),투모로우바이투게더,이름의 장: TEMPTATION,https://cdnimg.melon.co.kr/cm2/album/images/111/58/153/11158153_20230126154403_500.jpg?2ad0d166efc7082a8e640d2fa2d45d9f/melon/resize/282/quality/80/optimize
69,오늘 취하면 (Feat. 창모) (Prod. SUGA),SURAN (수란),WINE,https://cdnimg.melon.co.kr/cm/album/images/100/58/598/10058598_500.jpg?c1b925e129c0ab546750c21e8353ab93/melon/resize/282/quality/80/optimize
70,"BAD BAD (Feat. Tabber, 박재범)",코드 쿤스트 (CODE KUNST),Remember Archive,https://cdnimg.melon.co.kr/cm2/album/images/112/04/947/11204947_20230316100238_500.jpg?0af76a293c86008d6eb99af90374d31d/melon/resize/282/quality/80/optimize
71,좋아 (JOAH),박재범,JOAH,https://cdnimg.melon.co.kr/cm/album/images/021/81/104/2181104_500.jpg/melon/resize/282/quality/80/optimize
72,Marry Me (꽃길만 걷자),우디 (Woody),Marry Me,https://cdnimg.melon.co.kr/cm2/album/images/111/61/566/11161566_20230131102714_500.jpg?c7e489c91510dfec9e97d21b123e8a28/melon/resize/282/quality/80/optimize
73,어떻게 지내,Crush,wonderlust,https://cdnimg.melon.co.kr/cm/album/images/100/06/417/10006417_500.jpg?67abf026f3b577a722122c5624d21d99/melon/resize/282/quality/80/optimize
74,삐삐,아이유,삐삐,https://cdnimg.melon.co.kr/cm/album/images/102/10/535/10210535_500.jpg?f80bff85a135984aa8f2392889bda057/melon/resize/282/quality/80/optimize
75,우리,이데아 (idea),사랑은,https://cdnimg.melon.co.kr/cm2/album/images/109/79/374/10979374_20220609142836_500.jpg?b2aff603923f0e7702219ebb51de565f/melon/resize/282/quality/80/optimize
76,손을 마주 잡고,BIG Naughty (서동현),사랑의 이해 OST Part.5,https://cdnimg.melon.co.kr/cm2/album/images/111/50/702/11150702_20230117135140_500.jpg?d526b21c6a29f19abc3bbed10aa574a6/melon/resize/282/quality/80/optimize
77,친구라도 될 걸 그랬어,거미,Like Them,https://cdnimg.melon.co.kr/cm/album/images/000/26/396/26396_500.jpg/melon/resize/282/quality/80/optimize
78,몽유 (Feat. 그냥노창),BIG Naughty (서동현),호프리스 로맨틱,https://cdnimg.melon.co.kr/cm2/album/images/111/91/359/11191359_20230227182139_500.jpg?2c2e78b510ff60f916f9082a26c17840/melon/resize/282/quality/80/optimize
79,비 오는 날 듣기 좋은 노래,윤하 (YOUNHA),비 오는 날 듣기 좋은 노래,https://cdnimg.melon.co.kr/cm2/album/images/109/94/338/10994338_20220629174511_500.jpg?b9dd7d3eb0bc76e87ec6c0f688c64155/melon/resize/282/quality/80/optimize
80,떠나 (Prod. PATEKO (파테코)),THAMA,Listen-Up(리슨업) EP.2,https://cdnimg.melon.co.kr/cm2/album/images/110/23/561/11023561_20220805135138_500.jpg?d1a2a70d4bd5526be733e7b8c96414f9/melon/resize/282/quality/80/optimize
81,RIDE (Feat. THAMA),SOLE (쏠),RIDE,https://cdnimg.melon.co.kr/cm/album/images/101/08/359/10108359_500.jpg?1ee0c7a2b7a0965308aec33da4bbfa5d/melon/resize/282/quality/80/optimize
82,0310,백예린 (Yerin Baek),Every letter I sent you.,https://cdnimg.melon.co.kr/cm2/album/images/103/62/776/10362776_20191210144641_500.jpg?72384ea6f2169ad829dd9450d2382fe3/melon/resize/282/quality/80/optimize
83,"Petty (Feat. CAMO, Paul Blanco)",코드 쿤스트 (CODE KUNST),Remember Archive,https://cdnimg.melon.co.kr/cm2/album/images/112/04/947/11204947_20230316100238_500.jpg?0af76a293c86008d6eb99af90374d31d/melon/resize/282/quality/80/optimize
84,little bit (Feat. DeVita),코드 쿤스트 (CODE KUNST),Remember Archive,https://cdnimg.melon.co.kr/cm2/album/images/112/04/947/11204947_20230316100238_500.jpg?0af76a293c86008d6eb99af90374d31d/melon/resize/282/quality/80/optimize
85,Happy,태연 (TAEYEON),Happy,https://cdnimg.melon.co.kr/cm2/album/images/104/25/647/10425647_20200504145352_500.jpg?274e798ddb094a53736405ac844ea4e4/melon/resize/282/quality/80/optimize
86,Graduation,NCT DREAM,Candy - Winter Special Mini Album,https://cdnimg.melon.co.kr/cm2/album/images/111/24/139/11124139_20221215162633_500.jpg?ee6ba2550897be6fa3f7dd3ef55b05cb/melon/resize/282/quality/80/optimize
87,"Can I Love ? (Feat. 유라(youra), Meego)",Cosmic Boy,Can I Love ?,https://cdnimg.melon.co.kr/cm/album/images/102/52/289/10252289_500.jpg?8baa7862ac8548de09654e0ae15cb0c3/melon/resize/282/quality/80/optimize
88,목요일 밤 (Feat. 빈지노),어반자카파,목요일 밤,https://cdnimg.melon.co.kr/cm/album/images/027/05/941/2705941_500.jpg/melon/resize/282/quality/80/optimize
89,"눈, 코, 입",태양,RISE,https://cdnimg.melon.co.kr/cm/album/images/022/59/140/2259140_500.jpg/melon/resize/282/quality/80/optimize
90,Akita (Feat. hartts) (Prod. OBSN),BE'O (비오),Akita,https://cdnimg.melon.co.kr/cm2/album/images/111/77/366/11177366_20230215191917_500.jpg?f0bbb3a4c333e286764b85da9df91645/melon/resize/282/quality/80/optimize
91,덫,BIG Naughty (서동현),호프리스 로맨틱,https://cdnimg.melon.co.kr/cm2/album/images/111/91/359/11191359_20230227182139_500.jpg?2c2e78b510ff60f916f9082a26c17840/melon/resize/282/quality/80/optimize
92,No Make Up,Zion.T,No Make Up,https://cdnimg.melon.co.kr/cm/album/images/026/44/221/2644221_500.jpg/melon/resize/282/quality/80/optimize
93,너를 위해,첸 (CHEN),달의 연인 - 보보경심 려 OST Part 1,https://cdnimg.melon.co.kr/cm/album/images/027/05/644/2705644_500.jpg?7d76265082bd9e0097c5ab48757f6ed6/melon/resize/282/quality/80/optimize
94,같은 시간 속의 너,나얼,브라운 아이드 소울 싱글 프로젝트 1st. 같은 시간 속의 너 By 나얼,https://cdnimg.melon.co.kr/cm/album/images/023/02/870/2302870_500.jpg/melon/resize/282/quality/80/optimize
95,소우주 (Mikrokosmos),방탄소년단,MAP OF THE SOUL : PERSONA,https://cdnimg.melon.co.kr/cm/album/images/102/73/641/10273641_500.jpg?931a1f4b6e6c90752585d656e86f0842/melon/resize/282/quality/80/optimize
96,우리 다투게 돼도 이것만 기억해 줄래 눈을 맞추고 서로가 서로의 손잡아 주며 낮은 목소리와 예쁜 말투로 상처 주지 않게 노력을 하고 ●,그리즐리 (Grizzly),꽃zip2,https://cdnimg.melon.co.kr/cm2/album/images/110/78/891/11078891_20221018102054_500.jpg?7b911660fb70af27a11a4c733d5499d8/melon/resize/282/quality/80/optimize
97,Lovey Dovey (Feat. meenoi),BIG Naughty (서동현),Lovey Dovey,https://cdnimg.melon.co.kr/cm2/album/images/109/41/011/10941011_20220503153950_500.jpg?b70aa8e5d54f0203e0a9429cd2d4a8ce/melon/resize/282/quality/80/optimize
98,Gone,에일리(Ailee),판도라 : 조작된 낙원 OST Part 3,https://cdnimg.melon.co.kr/cm2/album/images/112/13/801/11213801_20230330101727_500.jpg?e979a21759e6204a4f84234ed554eac8/melon/resize/282/quality/80/optimize
99,3　2　1,JAEHA (재하),3　2　1,https://cdnimg.melon.co.kr/cm2/album/images/112/05/814/11205814_20230317101453_500.jpg?766fdc4e2c5b07bb9d1afa711ec201b7/melon/resize/282/quality/80/optimize
100,정말 사랑했을까,브라운 아이드 소울,Soul Free,https://cdnimg.melon.co.kr/cm/album/images/000/32/695/32695_500.jpg/melon/resize/282/quality/80/optimize
