순위,가수명,인기곡,앨범이미지,유튜브링크
17,에일리(Ailee),첫눈처럼 너에게 가겠다,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/29/831/629831_20211027134955_500.jpg,https://www.youtube.com/watch?v=6rS7OUGXUik
18,조이 (JOY),푸른 밤 이 노래,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/80/922/780922_20221124113000_500.jpg,https://www.youtube.com/watch?v=us4NfXw-VhE
19,Anne-Marie,Expectations,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/70/307/870307_20230309175316_500.jpg,https://www.youtube.com/watch?v=jrt4iWhofPA
20,펀치 (Punch),Say Yes,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/49/640/749640_20221129113741_500.jpg,https://www.youtube.com/watch?v=5UQzXbizT-s
21,백지영,눈을 감고 귀를 막아도,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/01/118/1118_500.jpg,https://www.youtube.com/watch?v=J5N_HR36aYk
22,최유리,그댄 행복에 살텐데 (2022),https://cdnimg.melon.co.kr/cm2/artistcrop/images/026/45/970/2645970_20220519112923_500.jpg,https://www.youtube.com/watch?v=mwTnWKAvFyo
23,신예영,마지막 사랑,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/40/042/2740042_20230120173133_500.jpg,https://www.youtube.com/watch?v=bokR8sXylQE
24,비비 (BIBI),LAW (Prod. Czaer),https://cdnimg.melon.co.kr/cm2/artistcrop/images/024/03/002/2403002_20220927114113_500.jpg,https://www.youtube.com/watch?v=wIRt5my06pw
25,HYNN (박혜원),시든 꽃에 물을 주듯,https://cdnimg.melon.co.kr/cm2/artistcrop/images/012/29/685/1229685_20221123142803_500.jpg,https://www.youtube.com/watch?v=tMhizg-1OzA
26,정은지,All For You,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/44/871/644871_20230405135410_500.jpg,https://www.youtube.com/watch?v=XPbOlL5pQ2g
27,김나영,봄 내음보다 너를,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/35/094/735094_20220831122700_500.jpg,https://www.youtube.com/watch?v=NfmAb14lpzY
28,안예은,낮에 뜨는 달 (낮에 뜨는 달 X 안예은),https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/47/099/947099_20210730145045_500.jpg,https://www.youtube.com/watch?v=3GHp14Tddbw
29,이영지,NOT SORRY (Feat. pH-1) (Prod. by Slom),https://cdnimg.melon.co.kr/cm2/artistcrop/images/026/36/153/2636153_20211029114418_500.jpg,https://www.youtube.com/watch?v=YSEcAElZwF8
30,이예준,니 번호가 뜨는 일,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/18/655/718655_500.jpg,https://www.youtube.com/watch?v=wnz1mdUa3ZA
31,거미,기억해줘요 내 모든 날과 그때를,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/30/358/30358_20230127103808_500.jpg,https://www.youtube.com/watch?v=te4U-Y07lE0
32,이채연,KNOCK,https://cdnimg.melon.co.kr/cm2/artistcrop/images/023/99/731/2399731_20230413120532_500.jpg,https://www.youtube.com/watch?v=LZlVZByKvpE
33,선미,불이 꺼지고,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/22/938/22938_20220629112242_500.jpg,https://www.youtube.com/watch?v=cT1EqM4zdSo
34,이하이,한숨,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/46/171/646171_20210827180057_500.jpg,https://www.youtube.com/watch?v=5iSlfF8TQ9k
35,소유 (SOYOU),썸 (Feat. 릴보이 Of 긱스),https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/90/981/490981_20230418102105_500.jpg,https://www.youtube.com/watch?v=Y-FhDScM_2w
36,CHEEZE (치즈),Madeleine Love,https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/97/191/597191_20220530174000_500.jpg,https://www.youtube.com/watch?v=EHTagN5HJKQ
37,벤,열애중,https://cdnimg.melon.co.kr/cm/artistcrop/images/006/55/051/655051_500.jpg,https://www.youtube.com/watch?v=PrqBlVtliqs
38,SOLE (쏠),Need you (with 성시경),https://cdnimg.melon.co.kr/cm2/artistcrop/images/020/06/587/2006587_20220907180648_500.jpg,https://www.youtube.com/watch?v=R-Hwswkn0HY
39,Taylor Swift,Anti-Hero,https://cdnimg.melon.co.kr/cm2/artistcrop/images/003/25/867/325867_20221021164716_500.jpg,https://www.youtube.com/watch?v=b1kbLwvqugk
40,YENA (최예나),SMILEY (Feat. BIBI),https://cdnimg.melon.co.kr/cm2/artistcrop/images/023/99/724/2399724_20230116133833_500.jpg,https://www.youtube.com/watch?v=y9kkXTucnLU
41,린,...사랑했잖아...,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/08/530/8530_20221021140028_500.jpg,https://www.youtube.com/watch?v=XQLmFuqVri0
42,백아,첫사랑,https://cdnimg.melon.co.kr/cm2/artistcrop/images/021/13/114/2113114_20230130115533_500.jpg,https://www.youtube.com/watch?v=RROW1FvQjqA
43,장윤정,초혼,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/22/836/22836_500.jpg,https://www.youtube.com/watch?v=FFl0k_XTvc4
44,민니 ((여자)아이들),Expectations,https://cdnimg.melon.co.kr/cm2/artistcrop/images/021/38/419/2138419_20221017120009_500.jpg,https://www.youtube.com/watch?v=jrt4iWhofPA
45,21학번,스티커 사진,https://cdnimg.melon.co.kr/cm2/artistcrop/images/029/31/537/2931537_20210412101627_500.jpg,https://www.youtube.com/watch?v=ArvOtRsecVQ
46,유주 (YUJU),우연히 봄,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/58/238/858238_20230307113823_500.jpg,https://www.youtube.com/watch?v=ftH1Z6CIqHU
47,Sia,Snowman,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/54/103/54103_20211124163351_500.jpg,https://www.youtube.com/watch?v=gset79KMmt0
48,Billie Eilish,bad guy,https://cdnimg.melon.co.kr/cm2/artistcrop/images/012/39/008/1239008_20220722104746_500.jpg,https://www.youtube.com/watch?v=DyDfgMOUjCI
49,김연지,사랑의 인사,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/28/803/428803_20211124143325_500.jpg,https://www.youtube.com/watch?v=gwRkvYc59_s
50,윤미래,LAW (Prod. Czaer),https://cdnimg.melon.co.kr/cm/artistcrop/images/000/01/654/1654_500.jpg,https://www.youtube.com/watch?v=wIRt5my06pw
