순위,가수명,인기곡,앨범이미지,유튜브링크
22,에픽하이 (EPIK HIGH),우산 (Feat. 윤하),https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/08/356/108356_20230131141458_500.jpg,https://www.youtube.com/watch?v=NIPtyAKxlRs
23,버즈,Monologue,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/60/091/160091_20210310140842_500.jpg,https://www.youtube.com/watch?v=-xvOv7yL10I
24,Maroon 5,Memories,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/07/721/107721_20210608170728_500.jpg,https://www.youtube.com/watch?v=SlPhMPnQ58k
25,버스커 버스커,벚꽃 엔딩,https://cdnimg.melon.co.kr/cm/artistcrop/images/005/69/233/569233_500.jpg,https://www.youtube.com/watch?v=tXV7dfvSefo
26,호미들,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/54/623/2754623_20201214142344_500.jpg,https://www.youtube.com/watch?v=dn6IbwyeO-Q
27,SHINee (샤이니),Stand By Me,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/47/639/247639_20210406112412_500.jpg,https://www.youtube.com/watch?v=YwwK8xPEvQs
28,WINNER,REALLY REALLY,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/75/197/775197_20220705143441_500.jpg,https://www.youtube.com/watch?v=4tBnF46ybZk
29,ENHYPEN,Polaroid Love,https://cdnimg.melon.co.kr/cm2/artistcrop/images/028/99/079/2899079_20220704160050_500.jpg,https://www.youtube.com/watch?v=FTKSHe9cm-A
30,노을,늦은 밤 너의 집 앞 골목길에서,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/05/623/105623_20221027140139_500.jpg,https://www.youtube.com/watch?v=3gaLOtoSs40
31,엔플라잉 (N.Flying),옥탑방 (Rooftop),https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/61/430/861430_20221017195927_500.jpg,https://www.youtube.com/watch?v=VpaUh_BGqE0
32,NCT U,BOSS,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/60/278/960278_20211126115125_500.jpg,https://www.youtube.com/watch?v=mPIvhf8rphA
33,길구봉구,눈을 감고 귀를 막아도,https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/00/421/500421_20211109142521_500.jpg,https://www.youtube.com/watch?v=0zq2DV59lfk
34,Say Yes!,Say My Name,https://cdnimg.melon.co.kr/resource/image,https://www.youtube.com/watch?v=jkemczUyhW4
35,다이나믹 듀오,죽일 놈 (Guilty),https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/08/358/108358_20191126153746_500.jpg,https://www.youtube.com/watch?v=ppjRIEgcXIY
36,Imagine Dragons,Believer,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/35/412/635412_20220311152620_500.jpg,https://www.youtube.com/watch?v=7wtfhZwyrcc
37,Coldplay,My Universe,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/00/260/100260_20211015102948_500.jpg,https://www.youtube.com/watch?v=3YqPKLZF_WU
38,스탠딩 에그,오래된 노래,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/67/880/467880_20220518180745_500.jpg,https://www.youtube.com/watch?v=bW3XExLBf7A
39,블락비 (Block B),HER,https://cdnimg.melon.co.kr/cm/artistcrop/images/005/32/201/532201_500.jpg,https://www.youtube.com/watch?v=o0WCva5Stk4
40,FTISLAND (FT아일랜드),사랑앓이,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/26/490/226490_20211210102738_500.jpg,https://www.youtube.com/watch?v=gnLwCb8Cz7I
41,디셈버,"가슴으로 운다 (Feat. 아이린, 윤미)",https://cdnimg.melon.co.kr/cm/artistcrop/images/004/39/021/439021_500.jpg,https://www.youtube.com/watch?v=WnkPzdK20a8
42,리쌍,"헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)",https://cdnimg.melon.co.kr/cm/artistcrop/images/001/03/289/103289_500.jpg,https://www.youtube.com/watch?v=_TOu_1zVCUk
43,비스트,비가 오는 날엔,https://cdnimg.melon.co.kr/cm/artistcrop/images/004/36/981/436981_500.jpg,https://www.youtube.com/watch?v=W44PYtzjrZE
44,틴탑,To You,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/83/581/483581_20200710151709_500.jpg,https://www.youtube.com/watch?v=_YP7vCNl4WU
45,V.O.S,미친 것처럼,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/08/794/108794_20201106160316_500.jpg,https://www.youtube.com/watch?v=jd6y6p4Nf_E
46,iKON,사랑을 했다 (LOVE SCENARIO),https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/95/741/895741_20220503122338_500.jpg,https://www.youtube.com/watch?v=vecSVX1QYbQ
47,바이브,가을 타나 봐,https://cdnimg.melon.co.kr/cm/artistcrop/images/001/60/080/160080_500.jpg,https://www.youtube.com/watch?v=2n8yi181Kpc
48,인피니트,Man In Love (남자가 사랑할때),https://cdnimg.melon.co.kr/cm/artistcrop/images/004/76/181/476181_500.jpg,https://www.youtube.com/watch?v=wjcayWR4WIU
49,god,촛불하나,https://cdnimg.melon.co.kr/cm/artistcrop/images/001/00/007/100007_500.jpg,https://www.youtube.com/watch?v=h_DnVzMrkkg
50,그루비룸 (GroovyRoom),위하여 (We Higher) (Prod. GroovyRoom),https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/58/851/858851_20200206185344_500.jpg,https://www.youtube.com/watch?v=NMd7u0TEWHU
